,precision,recall,f1-score,support
-1.0,0.5155161494616846,0.5395492708793637,0.5272589873691029,4526.0
1.0,0.49637506041565976,0.4722924810301219,0.48403440556144695,4349.0
accuracy,0.5065915492957747,0.5065915492957747,0.5065915492957747,0.5065915492957747
macro avg,0.5059456049386721,0.5059208759547428,0.5056466964652749,8875.0
weighted avg,0.5061364766435256,0.5065915492957747,0.5060777246894977,8875.0
